customer_id,first_name,address_id,district,city_id,amount,category_id,film_id,title,rating
1,Mary,5,Nagasaki,463,2.99,4,480,Jeepers Wedding,R
1,Mary,5,Nagasaki,463,3.99,12,997,Youth Kick,NC-17
1,Mary,5,Nagasaki,463,0.99,7,766,Savannah Town,PG-13
1,Mary,5,Nagasaki,463,4.99,14,44,Attacks Hate,PG-13
1,Mary,5,Nagasaki,463,4.99,5,159,Closer Bang,R
1,Mary,5,Nagasaki,463,9.99,5,308,Ferris Mother,PG
1,Mary,5,Nagasaki,463,0.99,4,228,Detective Vision,PG-13
1,Mary,5,Nagasaki,463,5.99,4,611,Musketeers Wait,PG
1,Mary,5,Nagasaki,463,5.99,2,70,Bikini Borrowers,NC-17
1,Mary,5,Nagasaki,463,2.99,5,317,Fireball Philadelphia,PG
1,Mary,5,Nagasaki,463,1.99,5,317,Fireball Philadelphia,PG
1,Mary,5,Nagasaki,463,0.99,14,924,Unforgiven Zoolander,PG
1,Mary,5,Nagasaki,463,2.99,13,490,Jumanji Blade,G
1,Mary,5,Nagasaki,463,0.99,4,663,Patient Sister,NC-17
1,Mary,5,Nagasaki,463,0.99,7,204,Dalmations Sweden,PG
1,Mary,5,Nagasaki,463,4.99,1,579,Minds Truman,PG-13
1,Mary,5,Nagasaki,463,0.99,8,315,Finding Anaconda,R
1,Mary,5,Nagasaki,463,3.99,7,709,Racer Egg,NC-17
1,Mary,5,Nagasaki,463,4.99,6,3,Adaptation Holes,NC-17
1,Mary,5,Nagasaki,463,5.99,10,316,Fire Wolves,R
1,Mary,5,Nagasaki,463,5.99,15,764,Saturday Lambs,G
1,Mary,5,Nagasaki,463,4.99,5,814,Snatch Slipper,PG
1,Mary,5,Nagasaki,463,4.99,12,174,Confidential Interview,NC-17
1,Mary,5,Nagasaki,463,7.99,16,294,Expecations Natural,PG-13
1,Mary,5,Nagasaki,463,2.99,7,539,Luck Opus,NC-17
1,Mary,5,Nagasaki,463,4.99,2,243,Doors President,NC-17
